capability_id,domain,surface,source_kind,old_menu_or_route,old_title,old_page_source,actions,permissions,data_scope,frontend_api_modules,frontend_api_ids,exception_branches,target_disposition,new_route,new_component,legacy_automated_tests,target_automated_tests,confirmation_status,implementation_status,target_evidence,target_notes,route_or_menu_evidence
VIEW-0001,approval,desktop,component,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/approval/manage/components/AdminActionDialog.vue,待盘点,待盘点,待核验,待盘点,待盘点,catch | error,重设计,/approvals/instances,erp-ui-next/src/pages/approvals/instances/ApprovalAdminActionDialog.vue | erp-ui-next/src/pages/approvals/instances/ApprovalInstanceDetailPanel.vue | erp-ui-next/src/pages/approvals/instances/ApprovalInstanceWorkbenchPage.vue | erp-ui-next/src/domains/approvals/instances/approval-instance-admin.contract.ts | erp-ui-next/src/domains/approvals/instances/approval-instance-detail.contract.ts | erp-ui-next/src/domains/approvals/instances/approval-instance.gateway.ts | erp-ui-next/src/domains/approvals/instances/approval-instance.http.ts,待补齐,erp-ui-next/src/pages/approvals/instances/ApprovalAdminActionDialog.test.ts | erp-ui-next/src/pages/approvals/instances/ApprovalInstanceDetailPanel.test.ts | erp-ui-next/src/pages/approvals/instances/ApprovalInstanceWorkbenchPage.test.ts | erp-ui-next/src/domains/approvals/instances/approval-instance-admin.contract.test.ts | erp-ui-next/src/domains/approvals/instances/approval-instance-detail.contract.test.ts | erp-ui-next/src/domains/approvals/instances/approval-instance.gateway.test.ts | erp-ui-next/src/domains/approvals/instances/approval-instance.http.test.ts,管理员异常处置前端骨架已完成，目录搜索与真实统一审批闭环待确认,部分实现,docs/ERP-NEW_2-阶段6审批实例详情与管理员异常处置前端垂直切片实施计划-20260803.md | docs/ERP-NEW_2-阶段6审批实例详情与管理员异常处置前端垂直切片检查点-20260803.md,旧对话框的任意管理员动作入口被拆成终止实例、改派当前待办候选人和重放异常回调三个显式命令；每个命令独立权限、固定前置状态、必填原因、二次确认、CSRF 和幂等请求标识。内部目标 ID 不能手填，默认仅修改隔离 Mock 内存；目录用户搜索、自动转交、真实 Writer 和后端权限缓存修复均未迁移。,无直接入口证据，必须人工确认
VIEW-0002,approval,desktop,component,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/approval/manage/components/FlowConfiguration.vue,edit,approval:template:edit,待核验,approval/definition,FEAPI-0001 | FEAPI-0002 | FEAPI-0003 | FEAPI-0004 | FEAPI-0005 | FEAPI-0006 | FEAPI-0007 | FEAPI-0008 | FEAPI-0009 | FEAPI-0010 | FEAPI-0011,catch | error,重设计,/approvals/definitions,erp-ui-next/src/pages/approvals/definitions/ApprovalDefinitionWorkbenchPage.vue | erp-ui-next/src/domains/approvals/definitions/approval-definition.model.ts | erp-ui-next/src/domains/approvals/definitions/approval-definition.contract.ts | erp-ui-next/src/domains/approvals/definitions/approval-definition.gateway.ts | erp-ui-next/src/domains/approvals/definitions/approval-definition.http.ts,待补齐,erp-ui-next/src/pages/approvals/definitions/ApprovalDefinitionWorkbenchPage.test.ts | erp-ui-next/src/domains/approvals/definitions/approval-definition.contract.test.ts | erp-ui-next/src/domains/approvals/definitions/approval-definition.gateway.test.ts | erp-ui-next/src/domains/approvals/definitions/approval-definition.http.test.ts | erp-ui-next/src/app/router/route-access.test.ts | erp-ui-next/src/app/shell/navigation.test.ts,审批流程定义只读目录前端切片已完成，规则版本与审批配置闭环待确认,部分实现,docs/ERP-NEW_2-阶段6审批流程定义只读目录前端垂直切片实施计划-20260803.md | docs/ERP-NEW_2-阶段6审批流程定义只读目录前端垂直切片检查点-20260803.md,默认仅注入 ERP-NEW_2 跨组织脱敏 Mock；真实 templates HTTP Reader 保持未注入并省略组织头。当前只覆盖审批业务模板列表筛选分页引擎与定义模式；响应必须 no-store 且适配器回调锁版本审计字段在契约层丢弃。模板详情、规则、版本、草稿、编辑、发布、停用、预览、配置检查和生产接线均未迁移。,无直接入口证据，必须人工确认
VIEW-0003,approval,desktop,component,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/approval/manage/components/RuleWizard.vue,approve | publish,approval:template:publish | inv:transfer:approve | oa:todo:approve,存在组织/数据范围线索，待契约核验,approval/definition | approval/validation,FEAPI-0001 | FEAPI-0002 | FEAPI-0003 | FEAPI-0004 | FEAPI-0005 | FEAPI-0006 | FEAPI-0007 | FEAPI-0008 | FEAPI-0009 | FEAPI-0010 | FEAPI-0011 | FEAPI-0021 | FEAPI-0022 | FEAPI-0023,catch | error,重设计,/approvals/rules,erp-ui-next/src/pages/approvals/rules/ApprovalRuleAuditPage.vue | erp-ui-next/src/pages/approvals/rules/ApprovalRuleEditorPanel.vue | erp-ui-next/src/domains/approvals/rules/approval-rule.model.ts | erp-ui-next/src/domains/approvals/rules/approval-rule.contract.ts | erp-ui-next/src/domains/approvals/rules/approval-rule-command.model.ts | erp-ui-next/src/domains/approvals/rules/approval-rule-command.contract.ts | erp-ui-next/src/domains/approvals/rules/approval-rule.gateway.ts | erp-ui-next/src/domains/approvals/rules/approval-rule.http.ts,待补齐,erp-ui-next/src/pages/approvals/rules/ApprovalRuleAuditPage.test.ts | erp-ui-next/src/pages/approvals/rules/ApprovalRuleEditorPanel.test.ts | erp-ui-next/src/domains/approvals/rules/approval-rule.contract.test.ts | erp-ui-next/src/domains/approvals/rules/approval-rule-command.contract.test.ts | erp-ui-next/src/domains/approvals/rules/approval-rule-command.http.test.ts | erp-ui-next/src/domains/approvals/rules/approval-rule.gateway.test.ts | erp-ui-next/src/domains/approvals/rules/approval-rule.http.test.ts | erp-ui-next/src/app/router/route-access.test.ts | erp-ui-next/src/app/shell/navigation.test.ts,统一规则中心方案已确认；库存调拨固定模板写闭环完成；其他审批业务继续只读,部分实现,docs/ERP-NEW_2-阶段6统一审批规则草稿发布与调拨规则归并实施计划-20260810.md | docs/ERP-NEW_2-阶段6统一审批规则草稿发布与调拨规则归并检查点-20260810.md,INV_TRANSFER 新建规则与初始草稿、复制草稿、受控条件保存、固定四节点核对、候选人预览、发布和停用均接统一版本化接口；CSRF、稳定请求标识、幂等头、乐观锁、no-store 和编辑发布权限已冻结。其他审批模板保持只读；配置检查仍由既有独立工作台承载；未连接真实服务。,无直接入口证据，必须人工确认
VIEW-0004,approval,desktop,component,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/approval/manage/components/RuntimeMonitor.vue,query | reassign | replay | terminate,approval:callback:replay | approval:instance:query | approval:instance:terminate | approval:task:reassign,待核验,approval/monitor,FEAPI-0012 | FEAPI-0013 | FEAPI-0014 | FEAPI-0015 | FEAPI-0016 | FEAPI-0017 | FEAPI-0018 | FEAPI-0019,error | 失败 | 异常,重设计,/approvals/instances,erp-ui-next/src/pages/approvals/instances/ApprovalInstanceWorkbenchPage.vue | erp-ui-next/src/pages/approvals/instances/ApprovalInstanceDetailPanel.vue | erp-ui-next/src/pages/approvals/instances/ApprovalAdminActionDialog.vue | erp-ui-next/src/domains/approvals/instances/approval-instance.model.ts | erp-ui-next/src/domains/approvals/instances/approval-instance.contract.ts | erp-ui-next/src/domains/approvals/instances/approval-instance-detail.contract.ts | erp-ui-next/src/domains/approvals/instances/approval-instance-admin.contract.ts | erp-ui-next/src/domains/approvals/instances/approval-instance.gateway.ts | erp-ui-next/src/domains/approvals/instances/approval-instance.http.ts,erp-ui/test/displayEnumLocalization.test.js,erp-ui-next/src/pages/approvals/instances/ApprovalInstanceWorkbenchPage.test.ts | erp-ui-next/src/pages/approvals/instances/ApprovalInstanceDetailPanel.test.ts | erp-ui-next/src/pages/approvals/instances/ApprovalAdminActionDialog.test.ts | erp-ui-next/src/domains/approvals/instances/approval-instance.contract.test.ts | erp-ui-next/src/domains/approvals/instances/approval-instance-detail.contract.test.ts | erp-ui-next/src/domains/approvals/instances/approval-instance-admin.contract.test.ts | erp-ui-next/src/domains/approvals/instances/approval-instance.gateway.test.ts | erp-ui-next/src/domains/approvals/instances/approval-instance.http.test.ts | erp-ui-next/src/app/router/route-access.test.ts | erp-ui-next/src/app/shell/navigation.test.ts,统一审批实例安全详情与管理员异常处置前端切片已完成，个人审批和真实统一审批闭环待确认,部分实现,docs/ERP-NEW_2-阶段6统一审批实例只读监控前端垂直切片实施计划-20260803.md | docs/ERP-NEW_2-阶段6统一审批实例只读监控前端垂直切片检查点-20260803.md | docs/ERP-NEW_2-阶段6审批实例详情与管理员异常处置前端垂直切片实施计划-20260803.md | docs/ERP-NEW_2-阶段6审批实例详情与管理员异常处置前端垂直切片检查点-20260803.md,默认仅注入 ERP-NEW_2 跨组织脱敏可变 Mock；真实列表和详情 Reader 及三个 Writer 保持未注入并省略组织头。当前覆盖原生实例列表筛选分页、安全详情、任务候选人、追加审计、回调状态以及按独立权限和前置状态开放的终止改派与回调重放；响应必须 no-store，写命令必须 CSRF 和幂等请求标识。旧引擎聚合、个人审批动作、目录用户搜索、自动转交、流程配置写入、规则发布、后端缓存权限修复和生产接线均未迁移。,无直接入口证据，必须人工确认
VIEW-0005,approval,desktop,component,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/approval/manage/components/ValidationPanel.vue,list | run,approval:validation:list | approval:validation:run,存在组织/数据范围线索，待契约核验,approval/validation,FEAPI-0021 | FEAPI-0022 | FEAPI-0023,error,重设计,/approvals/validation,erp-ui-next/src/pages/approvals/validation/ApprovalValidationWorkbenchPage.vue | erp-ui-next/src/pages/approvals/validation/ApprovalValidationRunDialog.vue | erp-ui-next/src/domains/approvals/validation/approval-validation.model.ts | erp-ui-next/src/domains/approvals/validation/approval-validation.contract.ts | erp-ui-next/src/domains/approvals/validation/approval-validation-command.contract.ts | erp-ui-next/src/domains/approvals/validation/approval-validation.gateway.ts | erp-ui-next/src/domains/approvals/validation/approval-validation.http.ts,待补齐,erp-ui-next/src/pages/approvals/validation/ApprovalValidationWorkbenchPage.test.ts | erp-ui-next/src/pages/approvals/validation/ApprovalValidationRunDialog.test.ts | erp-ui-next/src/domains/approvals/validation/approval-validation.contract.test.ts | erp-ui-next/src/domains/approvals/validation/approval-validation-command.contract.test.ts | erp-ui-next/src/domains/approvals/validation/approval-validation.gateway.test.ts | erp-ui-next/src/domains/approvals/validation/approval-validation.http.test.ts | erp-ui-next/src/app/router/route-access.test.ts | erp-ui-next/src/app/shell/navigation.test.ts,审批配置检查读取与执行命令前端切片已完成，规则修复与真实闭环待确认,部分实现,docs/ERP-NEW_2-阶段6审批配置检查只读工作台前端垂直切片实施计划-20260803.md | docs/ERP-NEW_2-阶段6审批配置检查只读工作台前端垂直切片检查点-20260803.md | docs/ERP-NEW_2-阶段6审批配置检查执行命令前端垂直切片实施计划-20260803.md | docs/ERP-NEW_2-阶段6审批配置检查执行命令前端垂直切片检查点-20260803.md,默认仅注入 ERP-NEW_2 跨组织脱敏可变 Mock；真实 runs Reader、问题明细 Reader 与执行 Writer 保持未注入并省略组织头。当前覆盖批次列表、问题明细及按独立权限和精确版本执行检查；POST 只发送 versionId 与 validationType、必须 CSRF 和 no-store。后端无业务幂等协议时不自动重试；规则修复、规则与版本编辑、发布、导出、生产接线和旧页面下线仍未迁移。,无直接入口证据，必须人工确认
VIEW-0006,approval,desktop,unmapped-page-candidate,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/approval/manage/index.vue,待盘点,待盘点,待核验,approval/definition,FEAPI-0001 | FEAPI-0002 | FEAPI-0003 | FEAPI-0004 | FEAPI-0005 | FEAPI-0006 | FEAPI-0007 | FEAPI-0008 | FEAPI-0009 | FEAPI-0010 | FEAPI-0011,待盘点,待确认（保留/重设计/合并/下线）,待设计,待设计,待补齐,待补齐,待确认,未开始,待补齐,待补齐,无直接入口证据，必须人工确认
VIEW-0007,platform,desktop,route-page,/credential/change-password,必须修改密码,erp-ui/src/views/credential/change-password.vue,待盘点,待盘点,待核验,system/user,FEAPI-0487 | FEAPI-0488 | FEAPI-0489 | FEAPI-0490 | FEAPI-0491 | FEAPI-0492 | FEAPI-0493 | FEAPI-0494 | FEAPI-0495 | FEAPI-0496 | FEAPI-0497 | FEAPI-0498 | FEAPI-0499 | FEAPI-0500 | FEAPI-0501 | FEAPI-0502 | FEAPI-0503 | FEAPI-0504 | FEAPI-0505 | FEAPI-0506,error,重设计,/credential/change-password,erp-ui-next/src/pages/account/CredentialChangePage.vue | erp-ui-next/src/pages/account/AccountAccessShell.vue | erp-ui-next/src/pages/account/AccountPasswordPanel.vue | erp-ui-next/src/domains/account/account.contract.ts | erp-ui-next/src/domains/account/account.http.ts | erp-ui-next/src/platform/session/session.http.ts,待补齐,erp-ui-next/src/pages/account/AccountAdmissionPages.test.ts | erp-ui-next/src/pages/account/AccountPasswordPanel.test.ts | erp-ui-next/src/domains/account/account.contract.test.ts | erp-ui-next/src/domains/account/account.http.test.ts | erp-ui-next/src/platform/session/session.http.test.ts | erp-ui-next/src/app/router/route-access.test.ts | erp-modules/erp-system/src/test/java/com/erp/system/controller/SysProfileControllerTest.java,账户准入与单一响应式体验已确认；真实独立运行验收待执行,部分实现,docs/ERP-NEW_2-阶段4账户准入与响应式个人中心纵向切片实施计划-20260810.md,受限会话仅开放本人账户 Gateway；强制改密完成前不读取组织树且不开放业务 Gateway。密码按当前策略校验并在成功后清空浏览器表单；真实服务与浏览器 E2E 尚未执行。,erp-ui/src/router/index.js:59
VIEW-0008,workbench,desktop,component,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/dashboard/BarChart.vue,待盘点,待盘点,待核验,待盘点,待盘点,待盘点,待确认（保留/重设计/合并/下线）,待设计,待设计,erp-ui/test/frontendTestGate.test.js,待补齐,待确认,未开始,待补齐,待补齐,无直接入口证据，必须人工确认
VIEW-0009,workbench,desktop,component,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/dashboard/LineChart.vue,待盘点,待盘点,待核验,待盘点,待盘点,待盘点,待确认（保留/重设计/合并/下线）,待设计,待设计,erp-ui/test/frontendTestGate.test.js,待补齐,待确认,未开始,待补齐,待补齐,无直接入口证据，必须人工确认
VIEW-0010,workbench,desktop,component,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/dashboard/PanelGroup.vue,待盘点,待盘点,待核验,待盘点,待盘点,待盘点,待确认（保留/重设计/合并/下线）,待设计,待设计,待补齐,待补齐,待确认,未开始,待补齐,待补齐,无直接入口证据，必须人工确认
